Timestamp,Item Name,Winner,Final Price
2026-04-06 12:37:44,Vincent Van Gogh's Starry Night,alisha,300
2026-04-09 09:24:25,Vincent Van Gogh's Starry Night,b,310
2026-04-09 09:53:41,Vincent Van Gogh's Starry Night,b,300
2026-04-09 10:02:54,Vincent Van Gogh's Starry Night,a,300
2026-04-09 10:14:38,Vincent Van Gogh's Starry Night,b,300
2026-04-09 10:19:42,Vincent Van Gogh's Starry Night,b,200
2026-04-09 10:23:48,Vincent Van Gogh's Starry Night,A,200
2026-04-09 10:39:27,Vincent Van Gogh's Starry Night,b,300
2026-04-09 11:03:58,Vincent Van Gogh's Starry Night,b,300
2026-04-09 11:12:17,Vincent Van Gogh's Starry Night,a,200
2026-04-09 11:15:32,Vincent Van Gogh's Starry Night,b,300
2026-04-09 11:33:33,Vincent Van Gogh's Starry Night,b,300
2026-04-09 20:42:14,Vincent Van Gogh's Starry Night,a,2000
2026-04-09 20:42:33,The Persistence of Memory,No Winner,0
2026-04-09 20:43:11,Girl with a Pearl Earring,a,5000
2026-04-09 20:53:31,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-09 20:53:53,The Persistence of Memory,No Winner,0
2026-04-09 20:56:54,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-09 20:57:08,The Persistence of Memory,No Winner,0
2026-04-09 20:57:33,Girl with a Pearl Earring,aadya,4000
2026-04-09 20:57:46,The Scream,No Winner,0
2026-04-09 21:00:22,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-09 21:00:38,The Persistence of Memory,No Winner,0
2026-04-09 21:07:17,Vincent Van Gogh's Starry Night,aadta,200
2026-04-09 21:28:48,Vincent Van Gogh's Starry Night,aadya,300
2026-04-09 21:34:40,Vincent Van Gogh's Starry Night,aadya,2000
2026-04-09 21:38:07,Vincent Van Gogh's Starry Night,aadya,2000
2026-04-09 21:51:34,Vincent Van Gogh's Starry Night,aadya,4000
2026-04-09 21:52:41,Vincent Van Gogh's Starry Night,aadya,4000
2026-04-09 21:53:15,The Persistence of Memory,aadya,50
2026-04-09 21:53:38,Girl with a Pearl Earring,No Winner,0
2026-04-09 21:59:22,Vincent Van Gogh's Starry Night,aadya,400
2026-04-09 21:59:40,The Persistence of Memory,aadya,3000
2026-04-09 21:59:55,Girl with a Pearl Earring,No Winner,0
2026-04-09 22:02:29,The Scream,No Winner,0
2026-04-09 22:05:52,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-09 22:06:10,The Persistence of Memory,No Winner,0
2026-04-09 22:06:24,Girl with a Pearl Earring,No Winner,0
2026-04-09 22:07:18,The Tiger,aadya,0
2026-04-09 22:07:38,Vincent Van Gogh's Starry Night,No Winner,0
2026-04-09 22:07:51,The Persistence of Memory,No Winner,0
2026-04-09 22:08:04,Girl with a Pearl Earring,No Winner,0
2026-04-09 22:08:18,The Tiger,No Winner,0
2026-04-09 22:08:33,Mountain View,No Winner,0
2026-04-09 22:09:27,Vincent Van Gogh's Starry Night,No Winner,0
2026-04-09 22:19:49,Vincent Van Gogh's Starry Night,1,4000
2026-04-09 22:19:58,The Persistence of Memory,1,0
2026-04-10 11:35:09,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-10 11:35:17,The Persistence of Memory,No Winner,0
2026-04-10 11:35:24,Girl with a Pearl Earring,No Winner,0
2026-04-10 11:35:35,The Tiger,aadya,3000
2026-04-10 11:36:00,Mountain View,aadya,30000
2026-04-15 11:10:39,Vincent Van Gogh's Starry Night,aadya,3000
2026-04-15 11:11:02,The Persistence of Memory,No Winner,0
2026-04-15 11:11:24,Girl with a Pearl Earring,No Winner,0
2026-04-15 11:11:43,The Tiger,aadya,30000
2026-04-15 11:12:03,Mountain View,aadya,2000
